epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8320463299751282,9.999999747378752e-05,0.5954830646514893,0.5930232405662537,0.6099135875701904
1,0.8899613618850708,9.999999747378752e-05,0.2746181786060333,0.39147287607192993,0.9604775309562683
2,0.8967181444168091,9.999999747378752e-05,0.24786916375160217,0.7984496355056763,0.3925594687461853
3,0.9054054021835327,9.999999747378752e-05,0.23063595592975616,0.8604651093482971,0.3291999101638794
4,0.9179536700248718,9.999999747378752e-05,0.2042069137096405,0.6627907156944275,0.9239147901535034
5,0.8976833820343018,9.999999747378752e-05,0.28022855520248413,0.930232584476471,0.24735629558563232
6,0.915057897567749,9.999999747378752e-05,0.21976004540920258,0.8527131676673889,0.4261053502559662
7,0.9440154433250427,9.999999747378752e-05,0.1544850766658783,0.9496123790740967,0.1624205857515335
8,0.9401544332504272,9.999999747378752e-05,0.15709584951400757,0.9457364082336426,0.17009329795837402
9,0.9324324131011963,9.999999747378752e-05,0.1652888059616089,0.8682170510292053,0.2894275188446045
